Approved Symbol
MIR200B
MIR200A
MIR429
ARHGEF16
ERRFI1
MIR34A
SLC25A33
CASZ1
MTOR
SPEN
SRARP
EPHA2
SDHB
PLA2G2A
ASAP3
RSRP1
ARID1A
SFN
SESN2
FABP3
TRIM62
SNIP1
MIR30C1
CITED4
SVBP
DPH2
KLF17
PTCH2
MUTYH
TOE1
RAD54L
CYP4Z2P
UQCRH
CYP4Z1
CDKN2C
RNF11
GPX7
TTC4
DAB1
ITGB3BP
GNG12-AS1
DIRAS3
ST6GALNAC5
ADGRL2
LMO4
TGFBR3
BCAR3
DPYD
VCAM1
SLC16A1
HIPK1
BCAS2
NRAS
PHGDH
PPIAL4E
RNF115
FMO5
VPS45
CTSK
BNIPL
S100A11
S100A14
CHTOP
CREB3L4
UBE2Q1
EFNA1
MUC1
GBA1
ASH1L
RAB25
MEX3A
PYHIN1
DUSP23
PEA15
NECTIN4
GPR161
FASLG
TNFSF4
PTGS2
ASPM
KIF14
KDM5B
KISS1
MDM4
IKBKE
IL24
CD55
MIR205
GPATCH2
FBXO28
PARP1
ARID4B
FH
AKT3
SMYD3
SCCPDH
SH3YL1
GREB1
NCOA1
CYP1B1
COX7A2L
MTA3
MSH2
MSH6
LHCGR
REL
HTRA2
PARTICL
MAT2A
GPAT2
TSGA10
BUB1
MERTK
IL1B
IL1RN
BIN1
RAB6C
PLEKHB2
MGAT5
CXCR4
GRB14
CDCA7
HOXD10
MIR10B
NFE2L2
MIR1258
GLS
CASP10
CASP8
SUMO1
BARD1
IGFBP2
IGFBP5
TNS1
USP37
CYP27A1
SERPINE2
IRS1
PER2
LINC00312
FANCD2
TIMP4
PPARG
SATB1
RPL15
NEK10
TGFBR2
MLH1
APRG1
CTNNB1
HIGD1A
CCR2
PRSS50
CDC25A
PFKFB4
RBM5
RASSF1
BAP1
NISCH
GNL3
ITIH1
ITIH3
ITIH4
WNT5A
IL17RD
FHIT
ADAMTS9
ROBO1
TMEM45A
CBLB
RABL3
FAM162A
CDV3
ATR
WWTR1
SERPINI2
PIK3CA
EIF4G1
CLDN1
LRRC15
TNK2
FBXO45
RUBCN
TACC3
FGFR3
MED28
DCAF16
DHX15
PDS5A
TMEM33
REST
GNRHR
UGT2B28
RASSF6
CXCL1
EREG
BTC
